asset_count,buy_usd,city,closed_asset_count,closed_authoritative_pnl,exit_modes,has_open_or_unresolved,has_transform_events,losing_closed_assets,no_asset_count,open_mark_to_market_cash_pnl,open_or_unresolved_asset_count,sell_usd,transform_asset_count,unit,weather_date,weather_metric,winning_closed_assets,yes_asset_count
2,19.597079999358,Tokyo,0,0,no_public_exit_yet|pre_resolution_sell,True,False,0,0,-16.8866,2,5.428,0,C,2026-05-14,high,0,2
2,229.32921999064,Busan,2,12.176535000000001,hold_to_resolution|mixed_sell_and_resolution,False,False,1,1,0,0,15.505570000727,0,C,2026-05-15,high,1,1
1,13.01564997243,Lucknow,1,0.488053,mixed_sell_and_resolution,False,False,1,0,0,0,13.503450021894,0,C,2026-05-15,high,0,1
1,7.4696699954820005,Miami,1,5.230731,mixed_sell_and_resolution,False,False,1,1,0,0,12.700400008788002,0,F,2026-05-15,high,0,0
4,18.676469999965,Moscow,1,72.0375,hold_to_resolution|no_public_exit_yet,True,False,0,0,-5.9636,3,0.0,0,C,2026-05-15,high,1,4
1,46.0,Seoul,1,54.0,hold_to_resolution,False,False,0,0,0,0,0.0,0,C,2026-05-15,high,1,1
3,625.050299998529,Shenzhen,3,94.358311,hold_to_resolution|mixed_sell_and_resolution,False,False,1,1,0,0,50.987500003368,0,C,2026-05-15,high,2,2
1,11.017100005495,Wellington,1,13.959001,mixed_sell_and_resolution,False,False,1,0,0,0,24.976249986741,0,C,2026-05-15,high,0,1
4,30.877519992167997,Ankara,3,1.652007,mixed_sell_and_resolution|no_public_exit_yet,True,False,3,0,-0.429,1,32.100400004225996,0,C,2026-05-16,high,0,4
3,28.599670003024,Buenos Aires,2,27.4204,mixed_sell_and_resolution|no_public_exit_yet,True,False,2,1,-5.9105,1,50.109749965079004,0,C,2026-05-16,high,0,2
1,193.49119999857598,Busan,1,28.483859,mixed_sell_and_resolution,False,False,0,1,0,0,3.379998000099123,0,C,2026-05-16,high,1,0
2,0.8238800000000001,Los Angeles,2,2.29822,mixed_sell_and_resolution,False,False,2,0,0,0,3.1221,0,F,2026-05-16,high,0,2
2,10.503600002164,Moscow,2,-0.7942949999999998,mixed_sell_and_resolution,False,False,2,0,0,0,9.7092599976,0,C,2026-05-16,high,0,2
1,0.400408,Munich,0,0,no_public_exit_yet,True,False,0,0,-0.4004,1,0.0,0,C,2026-05-16,high,0,1
1,9.527000000000001,Paris,1,0.453242,mixed_sell_and_resolution,False,False,1,0,0,0,9.979397998848158,0,C,2026-05-16,high,0,1
2,4.0,Qingdao,1,596.4,mixed_sell_and_resolution|no_public_exit_yet,True,False,0,0,-1.0,1,599.4,0,C,2026-05-16,high,1,2
2,17.394919998592,Sao Paulo,0,0,no_public_exit_yet,True,False,0,0,-17.3947,2,0.0,0,C,2026-05-16,high,0,2
3,36.851040003129995,Seoul,3,63.157116,mixed_sell_and_resolution,False,False,2,0,0,0,100.007999995925,0,C,2026-05-16,high,1,3
1,495.0,Seoul,1,4.5,mixed_sell_and_resolution,False,False,0,1,0,0,499.5,0,C,2026-05-16,low,1,0
3,71.440159993227,Shenzhen,1,146.038813,mixed_sell_and_resolution|no_public_exit_yet|pre_resolution_sell,True,False,0,0,-9.5113,2,22.188000000124,0,C,2026-05-16,high,1,3
2,24.00876399720429,Tokyo,2,-1.5598889999999999,mixed_sell_and_resolution,False,False,2,0,0,0,22.4474000014,0,C,2026-05-16,high,0,2
2,9.18231602388897,Toronto,2,2.791882,mixed_sell_and_resolution,False,False,2,0,0,0,11.974099984760999,0,C,2026-05-16,high,0,2
1,10.325950004017,Ankara,1,3.445033,mixed_sell_and_resolution,False,False,1,0,0,0,13.770839982375998,0,C,2026-05-17,high,0,1
2,43.84215999058,Beijing,2,30.357373000000003,mixed_sell_and_resolution,False,False,2,1,0,0,74.197869949953,0,C,2026-05-17,high,0,1
1,22.84939999934,Busan,1,87.290686,hold_to_resolution,False,False,0,0,0,0,0.0,0,C,2026-05-17,high,1,1
2,39.49699998675,London,1,80.998036,mixed_sell_and_resolution|pre_resolution_sell,True,False,0,0,-7.4913,1,120.22444,0,C,2026-05-17,high,1,2
5,104.675389990921,Miami,1,1.579163,mixed_sell_and_resolution|no_public_exit_yet|pre_resolution_sell,True,False,1,0,-66.5644,4,57.32914996552,0,F,2026-05-17,high,0,5
1,17.096600002271998,Milan,1,3.630675,mixed_sell_and_resolution,False,False,1,0,0,0,20.727300001632003,0,C,2026-05-17,high,0,1
2,7.79500000675,Moscow,2,7.286917,mixed_sell_and_resolution,False,False,2,0,0,0,15.082030007250001,0,C,2026-05-17,high,0,2
3,29.985892973791003,Paris,3,-7.389857,mixed_sell_and_resolution,False,False,3,1,0,0,22.595419975810998,0,C,2026-05-17,high,0,2
1,9.73548999602,Qingdao,1,4.831571,mixed_sell_and_resolution,False,False,1,0,0,0,14.56696999772,0,C,2026-05-17,high,0,1
4,67.583319983608,Sao Paulo,3,138.561983,mixed_sell_and_resolution|pre_resolution_sell,True,False,2,2,-9.5636,1,205.34316000451,0,C,2026-05-17,high,1,2
