actual_entry_allocation_pnl_at_observed_state,authoritative_realized_pnl_sum,basket_buy_budget_usd,basket_key,bucket_count,city,closed_yes_asset_count,counterfactual_status,equal_dollar_basket_pnl_at_observed_state,equal_payout_basket_pnl_at_observed_state,main_bucket_label,single_main_bucket_pnl_at_observed_state,state_model_valid,unit,weather_date,weather_metric,winner_bucket_labels
nan,nan,4.9066000051,Busan|2026-06-29|high|C,2,Busan,0,unresolved_or_partial,nan,nan,30°C,nan,True,C,2026-06-29,high,
nan,nan,4.264099994406,London|2026-06-29|high|C,1,London,0,unresolved_or_partial,nan,nan,26°C,nan,False,C,2026-06-29,high,
nan,-4.6194,20.974399998750002,Madrid|2026-06-29|high|C,3,Madrid,1,unresolved_or_partial,nan,nan,34°C,nan,True,C,2026-06-29,high,34°C
nan,nan,23.946279994721998,Munich|2026-06-29|high|C,3,Munich,0,unresolved_or_partial,nan,nan,28°C,nan,True,C,2026-06-29,high,
nan,nan,7.7700000000000005,New York City|2026-06-29|high|F,1,New York City,0,unresolved_or_partial,nan,nan,between 88-89°F,nan,False,F,2026-06-29,high,
nan,117.047147,33.315168999532304,Qingdao|2026-06-29|high|C,4,Qingdao,1,unresolved_or_partial,nan,nan,27°C,nan,True,C,2026-06-29,high,27°C
nan,603.656923,70.510614025106,Sao Paulo|2026-06-29|high|C,6,Sao Paulo,1,unresolved_or_partial,nan,nan,28°C,nan,True,C,2026-06-29,high,28°C
nan,nan,8.804209999886,Seoul|2026-06-29|high|C,1,Seoul,0,unresolved_or_partial,nan,nan,25°C,nan,False,C,2026-06-29,high,
nan,nan,4.5,Shanghai|2026-06-29|high|C,1,Shanghai,0,unresolved_or_partial,nan,nan,25°C,nan,False,C,2026-06-29,high,
nan,nan,16.04489599610084,Shenzhen|2026-06-29|high|C,2,Shenzhen,0,unresolved_or_partial,nan,nan,30°C,nan,True,C,2026-06-29,high,
nan,nan,17.53912699522393,Tokyo|2026-06-29|high|C,2,Tokyo,0,unresolved_or_partial,nan,nan,24°C,nan,True,C,2026-06-29,high,
nan,nan,36.87700000431,Beijing|2026-06-30|high|C,2,Beijing,0,unresolved_or_partial,nan,nan,26°C,nan,True,C,2026-06-30,high,
nan,nan,27.138186001997,Buenos Aires|2026-06-30|high|C,2,Buenos Aires,0,unresolved_or_partial,nan,nan,16°C,nan,True,C,2026-06-30,high,
nan,nan,3.159520011543,Chicago|2026-06-30|high|F,1,Chicago,0,unresolved_or_partial,nan,nan,between 100-101°F,nan,False,F,2026-06-30,high,
nan,nan,3.3336400002940003,Istanbul|2026-06-30|high|C,1,Istanbul,0,unresolved_or_partial,nan,nan,28°C,nan,False,C,2026-06-30,high,
nan,nan,25.0123,London|2026-06-30|high|C,1,London,0,unresolved_or_partial,nan,nan,25°C,nan,False,C,2026-06-30,high,
nan,nan,10.7268,Madrid|2026-06-30|high|C,1,Madrid,0,unresolved_or_partial,nan,nan,38°C,nan,False,C,2026-06-30,high,
nan,nan,41.047989999256,Mexico City|2026-06-30|high|C,4,Mexico City,0,unresolved_or_partial,nan,nan,21°C,nan,True,C,2026-06-30,high,
nan,nan,1.0662,Milan|2026-06-30|high|C,1,Milan,0,unresolved_or_partial,nan,nan,33°C,nan,False,C,2026-06-30,high,
nan,nan,15.171399995290002,Moscow|2026-06-30|high|C,1,Moscow,0,unresolved_or_partial,nan,nan,27°C,nan,False,C,2026-06-30,high,
nan,nan,3.492,Munich|2026-06-30|high|C,1,Munich,0,unresolved_or_partial,nan,nan,29°C,nan,False,C,2026-06-30,high,
nan,99.45,23.176799999568,New York City|2026-06-30|high|F,2,New York City,1,unresolved_or_partial,nan,nan,between 90-91°F,nan,True,F,2026-06-30,high,between 90-91°F
nan,48.651735,14.95357602709,New York City|2026-06-30|low|F,3,New York City,1,unresolved_or_partial,nan,nan,between 74-75°F,nan,True,F,2026-06-30,low,between 74-75°F
nan,285.426005,155.656809981938,Qingdao|2026-06-30|high|C,7,Qingdao,1,unresolved_or_partial,nan,nan,26°C,nan,True,C,2026-06-30,high,26°C
nan,nan,34.337701996869114,Sao Paulo|2026-06-30|high|C,3,Sao Paulo,0,unresolved_or_partial,nan,nan,28°C,nan,True,C,2026-06-30,high,
nan,111.020068,29.580000006400002,Busan|2026-07-01|high|C,2,Busan,1,unresolved_or_partial,nan,nan,23°C or below,nan,True,C,2026-07-01,high,23°C or below
