capital_at_risk_usd,city,current_zero_value_added_positions,exit_modes,has_transform_affected,no_positions,positions,realized_pnl_v2,roi_v2,sell_before_local_day_end_positions,settled_positions,unit,weather_date,weather_metric,yes_positions
11.326340000215001,Buenos Aires,0,mostly_or_fully_sold,False,1,2,-1.0519910000000001,-0.09288004774534675,2,2,C,2026-02-18,high,1
127.529832,London,0,transform_affected,True,1,2,2.469847999999999,0.019366825481272484,0,2,C,2026-02-18,high,1
46.18,Sao Paulo,0,mostly_or_fully_sold,False,1,4,21.69684,0.46983196188826337,4,4,C,2026-02-18,high,3
1.0,Seoul,0,mostly_or_fully_sold,False,0,1,-0.9,-0.9,1,1,C,2026-02-18,high,1
218.35831999962,Toronto,0,mostly_or_fully_sold|never_sold,False,3,3,4.622707999999999,0.021170285611320165,2,3,C,2026-02-18,high,0
3.016,Ankara,0,mostly_or_fully_sold|never_sold,False,0,2,-2.466,-0.8176392572944298,1,2,C,2026-02-19,high,2
173.070699998862,Buenos Aires,0,mostly_or_fully_sold|never_sold|partially_sold|transform_affected,True,3,6,-2.8797330000000008,-0.016639055599930754,4,6,C,2026-02-19,high,3
104.429227996192,Dallas,0,mostly_or_fully_sold|never_sold,False,1,4,35.674929,0.34161823930462154,2,4,F,2026-02-19,high,3
7.5725999999999996,Miami,0,mostly_or_fully_sold,False,0,1,-4.737784,-0.6256482581940154,1,1,F,2026-02-19,high,1
2.4956,New York City,0,mostly_or_fully_sold,False,0,1,-0.6606,-0.2647058823529412,1,1,F,2026-02-19,high,1
5.05,Sao Paulo,0,mostly_or_fully_sold|never_sold,False,1,2,0.024999999999999994,0.00495049504950495,1,2,C,2026-02-19,high,1
0.45999999999999996,Seoul,0,never_sold,False,0,1,-0.46,-1.0000000000000002,0,1,C,2026-02-19,high,1
5.0,Buenos Aires,0,mostly_or_fully_sold,False,0,1,-4.75,-0.95,1,1,C,2026-02-20,high,1
4.153689997173478,Miami,0,never_sold,False,0,2,-4.153412,-0.9999330722384996,0,2,F,2026-02-20,high,2
130.5797989963984,Sao Paulo,0,mostly_or_fully_sold|never_sold,False,1,4,46.478665,0.35594069953562996,3,4,C,2026-02-20,high,3
18.088547007770813,Seoul,0,mostly_or_fully_sold|never_sold,False,0,2,39.048266,2.1587287239392374,1,2,C,2026-02-20,high,2
6.194309999117,Ankara,0,mostly_or_fully_sold|never_sold,False,0,2,-6.0143,-0.9709394590934809,1,2,C,2026-02-21,high,2
96.5298,Buenos Aires,0,mostly_or_fully_sold|never_sold,False,1,4,34.388020000000004,0.35624252821408525,2,4,C,2026-02-21,high,3
3.9055999999999997,Chicago,0,never_sold,False,0,2,26.0944,6.681278164686605,0,2,F,2026-02-21,high,2
89.031000000236,Dallas,0,mostly_or_fully_sold|never_sold,False,1,2,38.09659,0.42790252833169357,1,2,F,2026-02-21,high,1
4.625,New York City,0,mostly_or_fully_sold|never_sold,False,0,2,-2.625,-0.5675675675675675,1,2,F,2026-02-21,high,2
9.1461,Sao Paulo,0,mostly_or_fully_sold|never_sold,False,0,2,-7.121599,-0.7786487136593738,1,2,C,2026-02-21,high,2
10.6,Buenos Aires,0,mostly_or_fully_sold,False,0,1,0.575155,0.05425990566037736,1,1,C,2026-02-22,high,1
102.646,London,0,mostly_or_fully_sold,False,1,3,-46.57959299999999,-0.45378868148783186,3,3,C,2026-02-22,high,2
76.76559,Miami,0,mostly_or_fully_sold|never_sold,False,2,5,54.477425000000004,0.7096594320450087,3,5,F,2026-02-22,high,3
210.2464299994845,Sao Paulo,0,mostly_or_fully_sold|never_sold|transform_affected,True,2,6,9.841265000000002,0.04680823831360243,4,6,C,2026-02-22,high,4
2.88,Ankara,0,mostly_or_fully_sold|never_sold,False,0,2,-1.2,-0.4166666666666667,1,2,C,2026-02-23,high,2
3.75,Atlanta,0,mostly_or_fully_sold,False,0,1,-2.02941,-0.541176,1,1,F,2026-02-23,high,1
0.447,Dallas,0,mostly_or_fully_sold,False,0,1,0.14826,0.3316778523489933,1,1,F,2026-02-23,high,1
